time,leftDuration,rightDuration,bottleVolume,pee,poo,sleepDuration,weight,note
2019-06-27 00:00,,,,,,,3700,
2019-06-27 16:07,,1371,,,,,,
2019-06-27 16:07,644,,,,,,,
2019-06-27 18:03,,,,1,0,,,
2019-06-27 18:04,215,,,,,,,
2019-06-27 18:13,217,,,,,,,
2019-06-27 19:17,,,,0,1,,,
2019-06-27 19:18,,276,,,,,,
2019-06-27 19:50,,606,,,,,,
2019-06-27 19:50,527,,,,,,,
2019-06-27 21:00,,,,1,0,,,
2019-06-27 21:01,1512,,,,,,,
2019-06-27 21:01,,1218,,,,,,
2019-06-27 21:01,,,,,,,,
2019-06-28 01:01,368,,,,,,,
2019-06-28 01:32,560,,,,,,,
2019-06-28 03:06,,,,0,1,,,
2019-06-28 03:07,,999,,,,,,
2019-06-28 03:07,1048,,,,,,,
2019-06-28 04:12,,151,,,,,,
2019-06-28 04:12,257,,,,,,,
2019-06-28 04:32,,813,,,,,,
2019-06-28 04:32,803,,,,,,,
2019-06-28 05:28,,413,,,,,,
2019-06-28 06:08,763,,,,,,,
2019-06-28 07:10,,1164,,,,,,
2019-06-28 07:10,1226,,,,,,,
2019-06-28 08:09,,,,0,1,,,
2019-06-28 08:15,,455,,,,,,
2019-06-28 08:15,75,,,,,,,
2019-06-28 11:29,532,,,,,,,
2019-06-28 11:52,,650,,,,,,
2019-06-28 11:52,345,,,,,,,
2019-06-28 12:40,,804,,,,,,
2019-06-28 12:40,441,,,,,,,
2019-06-28 15:22,,348,,,,,,
2019-06-28 15:22,370,,,,,,,
2019-06-28 17:37,559,,,,,,,
2019-06-28 17:37,,1330,,,,,,
2019-06-28 18:22,,,,1,1,,,
2019-06-28 18:41,588,,,,,,,
2019-06-28 19:07,,725,,,,,,
2019-06-28 20:04,88,,,,,,,
2019-06-28 20:04,,363,,,,,,
2019-06-28 20:26,264,,,,,,,
2019-06-28 22:25,,,,0,1,,,
2019-06-28 22:26,559,,,,,,,
2019-06-28 22:26,,732,,,,,,
2019-06-28 23:01,560,,,,,,,
2019-06-28 23:01,,1426,,,,,,
2019-06-28 23:01,,,,,,,,
2019-06-29 00:19,384,,,,,,,
2019-06-29 00:33,,198,,,,,,
2019-06-29 01:05,,935,,,,,,
2019-06-29 01:05,212,,,,,,,
2019-06-29 02:14,,,,1,1,,,
2019-06-29 02:15,,312,,,,,,
2019-06-29 02:15,589,,,,,,,
2019-06-29 02:59,,154,,,,,,
2019-06-29 03:45,498,,,,,,,
2019-06-29 03:45,,443,,,,,,
2019-06-29 04:09,,660,,,,,,
2019-06-29 04:09,114,,,,,,,
